id,cluster_id,latitude,longitude,vehicle_type,is_peak,Final_VIRS_Score
V000000,0,12.91304,77.626002,CAR,0,0.9729
V000001,0,12.917711,77.621735,CAR,1,0.858
V000002,0,12.920311,77.623264,CAR,1,0.99
V000003,0,12.918675,77.619164,BIKE,0,0.9654
V000004,0,12.914476,77.62789,AUTO,1,0.8415
V000005,0,12.919329,77.624462,BIKE,0,0.9095
V000006,0,12.915574,77.620951,BIKE,1,0.7623
V000007,0,12.916744,77.619639,BIKE,1,0.7611
V000008,0,12.919373,77.620338,CAR,1,0.8879
V000009,0,12.920686,77.623894,CAR,0,0.9415
V000010,0,12.919725,77.617171,CAR,1,0.8216
V000011,0,12.916099,77.62898,BIKE,1,0.7561
V000012,0,12.91586,77.623651,BIKE,1,0.9303
V000013,0,12.915805,77.621151,CAR,0,0.963
V000014,0,12.912667,77.619322,CAR,1,0.9197
V000015,0,12.915491,77.623634,CAR,0,0.9351
V000016,0,12.914552,77.621548,BIKE,1,0.8142
V000017,0,12.915322,77.62305,BIKE,1,0.9177
V000018,0,12.916806,77.621307,CAR,1,0.8504
V000019,0,12.911909,77.619011,BIKE,1,0.908
V000020,0,12.922397,77.621575,CAR,1,0.9485
V000021,0,12.9134,77.621644,CAR,1,0.9608
V000022,0,12.918151,77.620623,BIKE,1,0.6865
V000023,0,12.918131,77.623087,BIKE,1,0.99
V000024,0,12.917917,77.62388,CAR,1,0.99
V000025,0,12.923053,77.618245,TRUCK,1,0.7832
V000026,0,12.911693,77.625541,TRUCK,1,0.8333
V000027,0,12.918454,77.626353,BIKE,0,0.99
V000028,0,12.913242,77.614472,CAR,1,0.8921
V000029,0,12.914752,77.622437,AUTO,1,0.9879
V000030,0,12.913057,77.616301,CAR,1,0.8016
V000031,0,12.924272,77.623521,TRUCK,1,0.9779
V000032,0,12.91334,77.620099,AUTO,0,0.99
V000033,0,12.913588,77.626726,BIKE,1,0.9062
V000034,0,12.914581,77.624784,CAR,0,0.8054
V000035,0,12.91789,77.629316,AUTO,1,0.8792
V000036,0,12.922424,77.623878,CAR,1,0.8107
V000037,0,12.923343,77.623733,CAR,1,0.7131
V000038,0,12.924095,77.622282,BIKE,0,0.814
V000039,0,12.922822,77.619421,BUS,1,0.9372
V000040,0,12.916546,77.62435,CAR,1,0.99
V000041,0,12.908999,77.622805,BIKE,1,0.7588
V000042,0,12.915864,77.626664,CAR,1,0.7008
V000043,0,12.919154,77.621063,BIKE,1,0.8207
V000044,0,12.92255,77.622382,CAR,1,0.7765
V000045,0,12.917906,77.618662,CAR,0,0.8709
V000046,0,12.924707,77.619587,BIKE,0,0.8255
V000047,0,12.918462,77.627823,AUTO,1,0.7725
V000048,0,12.916549,77.61875,CAR,1,0.7965
V000049,0,12.916823,77.615969,CAR,1,0.684
V000050,0,12.912813,77.630348,CAR,1,0.99
V000051,0,12.918566,77.629915,CAR,0,0.7416
V000052,0,12.918939,77.621495,CAR,1,0.8439
V000053,0,12.916134,77.623929,BIKE,1,0.7934
V000054,0,12.917822,77.624407,AUTO,0,0.8664
V000055,0,12.918466,77.622611,BIKE,1,0.99
V000056,0,12.914148,77.61855,CAR,0,0.99
V000057,0,12.910222,77.62671,BUS,0,0.9145
V000058,0,12.918255,77.62321,CAR,1,0.8249
V000059,0,12.91781,77.628886,CAR,1,0.552
V000060,0,12.918384,77.621512,CAR,1,0.6492
V000061,0,12.911065,77.626455,CAR,1,0.8206
V000062,0,12.915862,77.6282,BIKE,1,0.9299
V000063,0,12.918956,77.629976,AUTO,1,0.9127
